"Label (Grouping)","Households"
"Alameda County, California",""
"    Total",""
"        Estimate","539,179"
"    Median income (dollars)",""
"        Estimate","71,516"
"Alpine County, California",""
"    Total",""
"        Estimate","385"
"    Median income (dollars)",""
"        Estimate","59,931"
"Amador County, California",""
"    Total",""
"        Estimate","14,236"
"    Median income (dollars)",""
"        Estimate","53,462"
"Butte County, California",""
"    Total",""
"        Estimate","85,074"
"    Median income (dollars)",""
"        Estimate","43,339"
"Calaveras County, California",""
"    Total",""
"        Estimate","18,618"
"    Median income (dollars)",""
"        Estimate","54,686"
"Colusa County, California",""
"    Total",""
"        Estimate","6,884"
"    Median income (dollars)",""
"        Estimate","52,165"
"Contra Costa County, California",""
"    Total",""
"        Estimate","373,145"
"    Median income (dollars)",""
"        Estimate","78,187"
"Del Norte County, California",""
"    Total",""
"        Estimate","9,703"
"    Median income (dollars)",""
"        Estimate","39,626"
"El Dorado County, California",""
"    Total",""
"        Estimate","67,846"
"    Median income (dollars)",""
"        Estimate","70,117"
"Fresno County, California",""
"    Total",""
"        Estimate","287,082"
"    Median income (dollars)",""
"        Estimate","45,741"
"Glenn County, California",""
"    Total",""
"        Estimate","9,540"
"    Median income (dollars)",""
"        Estimate","42,641"
"Humboldt County, California",""
"    Total",""
"        Estimate","53,307"
"    Median income (dollars)",""
"        Estimate","40,830"
"Imperial County, California",""
"    Total",""
"        Estimate","47,928"
"    Median income (dollars)",""
"        Estimate","41,255"
"Inyo County, California",""
"    Total",""
"        Estimate","7,910"
"    Median income (dollars)",""
"        Estimate","45,000"
"Kern County, California",""
"    Total",""
"        Estimate","253,178"
"    Median income (dollars)",""
"        Estimate","47,727"
"Kings County, California",""
"    Total",""
"        Estimate","40,767"
"    Median income (dollars)",""
"        Estimate","48,761"
"Lake County, California",""
"    Total",""
"        Estimate","26,103"
"    Median income (dollars)",""
"        Estimate","38,147"
"Lassen County, California",""
"    Total",""
"        Estimate","10,127"
"    Median income (dollars)",""
"        Estimate","51,921"
"Los Angeles County, California",""
"    Total",""
"        Estimate","3,218,511"
"    Median income (dollars)",""
"        Estimate","56,241"
"Madera County, California",""
"    Total",""
"        Estimate","42,063"
"    Median income (dollars)",""
"        Estimate","47,937"
"Marin County, California",""
"    Total",""
"        Estimate","103,152"
"    Median income (dollars)",""
"        Estimate","90,962"
"Mariposa County, California",""
"    Total",""
"        Estimate","7,256"
"    Median income (dollars)",""
"        Estimate","52,584"
"Mendocino County, California",""
"    Total",""
"        Estimate","34,228"
"    Median income (dollars)",""
"        Estimate","43,721"
"Merced County, California",""
"    Total",""
"        Estimate","74,496"
"    Median income (dollars)",""
"        Estimate","43,565"
"Modoc County, California",""
"    Total",""
"        Estimate","3,903"
"    Median income (dollars)",""
"        Estimate","37,482"
"Mono County, California",""
"    Total",""
"        Estimate","5,056"
"    Median income (dollars)",""
"        Estimate","61,868"
"Monterey County, California",""
"    Total",""
"        Estimate","125,123"
"    Median income (dollars)",""
"        Estimate","60,143"
"Napa County, California",""
"    Total",""
"        Estimate","49,209"
"    Median income (dollars)",""
"        Estimate","69,571"
"Nevada County, California",""
"    Total",""
"        Estimate","41,626"
"    Median income (dollars)",""
"        Estimate","57,382"
"Orange County, California",""
"    Total",""
"        Estimate","990,266"
"    Median income (dollars)",""
"        Estimate","75,566"
"Placer County, California",""
"    Total",""
"        Estimate","131,775"
"    Median income (dollars)",""
"        Estimate","73,356"
"Plumas County, California",""
"    Total",""
"        Estimate","9,109"
"    Median income (dollars)",""
"        Estimate","45,358"
"Riverside County, California",""
"    Total",""
"        Estimate","676,618"
"    Median income (dollars)",""
"        Estimate","57,096"
"Sacramento County, California",""
"    Total",""
"        Estimate","512,496"
"    Median income (dollars)",""
"        Estimate","55,846"
"San Benito County, California",""
"    Total",""
"        Estimate","16,840"
"    Median income (dollars)",""
"        Estimate","63,939"
"San Bernardino County, California",""
"    Total",""
"        Estimate","599,698"
"    Median income (dollars)",""
"        Estimate","54,750"
"San Diego County, California",""
"    Total",""
"        Estimate","1,067,462"
"    Median income (dollars)",""
"        Estimate","63,373"
"San Francisco County, California",""
"    Total",""
"        Estimate","340,839"
"    Median income (dollars)",""
"        Estimate","73,802"
"San Joaquin County, California",""
"    Total",""
"        Estimate","213,632"
"    Median income (dollars)",""
"        Estimate","53,895"
"San Luis Obispo County, California",""
"    Total",""
"        Estimate","101,708"
"    Median income (dollars)",""
"        Estimate","59,628"
"San Mateo County, California",""
"    Total",""
"        Estimate","257,369"
"    Median income (dollars)",""
"        Estimate","87,751"
"Santa Barbara County, California",""
"    Total",""
"        Estimate","141,247"
"    Median income (dollars)",""
"        Estimate","62,723"
"Santa Clara County, California",""
"    Total",""
"        Estimate","604,455"
"    Median income (dollars)",""
"        Estimate","90,747"
"Santa Cruz County, California",""
"    Total",""
"        Estimate","93,310"
